Date,ADANIPORTS.NS,TECHM.NS,BRITANNIA.NS,TCS.NS,SUNPHARMA.NS,INFY.NS,HINDALCO.NS,DRREDDY.NS,HCLTECH.NS,HINDUNILVR.NS,TATASTEEL.NS,NTPC.NS,CIPLA.NS,ITC.NS,BPCL.NS,WIPRO.NS,JSWSTEEL.NS,GAIL.NS,DIVISLAB.NS,ULTRACEMCO.NS,NESTLEIND.NS,ASIANPAINT.NS,EICHERMOT.NS,IOC.NS,GRASIM.NS,BAJAJ-AUTO.NS,HDFC.NS,M&M.NS,UPL.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS,BAJAJFINSV.NS,KOTAKBANK.NS,COALINDIA.NS,BHARTIARTL.NS,HEROMOTOCO.NS,LT.NS,ONGC.NS,SBIN.NS,RELIANCE.NS,SBILIFE.NS,HDFCLIFE.NS,BAJFINANCE.NS,AXISBANK.NS,HDFCBANK.NS,TATAMOTORS.NS,ICICIBANK.NS,POWERGRID.NS,INDUSINDBK.NS
16-02-2016,200.3500061,422.8500061,1312.949951,1132.780029,827.7999878,539.5750122,64.84999847,2855.649902,412.1499939,803.2000122,233.2779999,106.4580002,524.0499878,197,250.3329926,197.4750061,103.3700027,90.71720123,969.75,2787.600098,5049.799805,840.2999878,1869.030029,94.38749695,533.0839844,2329.850098,1077.150024,603.0250244,268.9670105,10222.2998,3705.199951,347.5499878,1703.800049,620.25,317.8999939,289.5020142,2512.5,736,133.3000031,156.3999939,465.2749939,,,601.1400146,405.7999878,486.7250061,301.1499939,178.727005,139.3000031,834.7999878
17-02-2016,212.5,429.5499878,1326.099976,1137.780029,855.7999878,548.9249878,65.80000305,2960.699951,412.3999939,812.5499878,239.375,106.6669998,519.0999756,199.8999939,260.3169861,197.6060028,104.75,91.16719818,988.5,2776.550049,5072.700195,856,1880.25,95.625,535.3610229,2357.449951,1076.300049,600.2000122,263.7330017,10074.2998,3749.149902,326.8500061,1701.150024,625.2999878,312.7999878,293.4039917,2524.550049,748.2999878,133.5670013,158.9499969,476.2999878,,,611.0949707,403.1000061,487.4500122,310.1499939,173.4089966,139.6000061,831.5499878
18-02-2016,210.3999939,429.3999939,1376.75,1157.930054,870.4500122,561.7000122,68.90000153,3103.600098,421.9750061,827.4000244,238.9940033,106.25,524.4000244,203.6329956,263.25,202.9880066,105.6800003,90.95629883,975.3499756,2795.100098,5182.850098,835.25,1869.459961,97.8125,534.2299805,2406.399902,1069.099976,606.7999878,262.4670105,10894,3653.25,333.6499939,1720.949951,635.5499878,317.6000061,294.9190063,2617.75,766.4329834,139.3999939,159.8000031,470.0499878,,,616.3950195,398.0499878,494.7250061,314,178.3179932,139.8500061,847.7000122
19-02-2016,209.3999939,440.5,1362.25,1159.819946,864.2000122,563.625,69.05000305,3058.800049,425.7749939,827.5999756,241.2810059,108.1669998,524.6500244,203.0330048,255.2830048,205.2559967,108.3499985,91.645401,995.6500244,2844.699951,5209.700195,854.7000122,1862.650024,93.3125,530.9920044,2455.800049,1060.849976,615.125,265.3670044,10653.90039,3579.149902,334.7000122,1673.099976,631.2000122,312.25,299.3720093,2706.199951,767,140.7669983,164.6999969,472.1749878,,,604.8099976,392.5,494.6499939,318.2000122,180.727005,141,841.5
22-02-2016,205.8999939,431.7000122,1399.680054,1157.949951,882.4500122,563.3250122,69.5,3108,422.9750061,861.6500244,243.1860046,105.8330002,530.5,199.8999939,253.1329956,203.5310059,110.2699966,90.39379883,991.4000244,2923.100098,5279.350098,870.8499756,1891.859985,94.59999847,539.559021,2476.75,1058.400024,618.5250244,263.1329956,10801,3520.800049,337.8999939,1630.300049,640.2000122,313.8999939,302.1730042,2702.550049,766.5,142.9329987,164.9499969,481.1499939,,,600.2449951,397.1499939,494.375,318.8500061,180.4089966,139.6499939,844.5999756
23-02-2016,204.1999969,428.6000061,1401.119995,1132,871.0999756,561.9500122,68.5,3080.899902,414.4750061,836.8499756,241.5659943,103.1669998,522.5999756,195.8670044,245.3500061,202.4810028,112.4000015,89.15630341,980,2816.350098,5192.25,877.0999756,1900.380005,90.67500305,527.9249878,2396.449951,1051.099976,604.3499756,262.8999939,10492.7002,3487.399902,329.4500122,1615.849976,623,301.1000061,295.0109863,2661.149902,753.4329834,143.0670013,158.5,474.8250122,,,589.4849854,385.1499939,485.0249939,318.5499878,174.5449982,137.1000061,839.6500244
24-02-2016,200.1499939,422.0499878,1376.699951,1105.469971,854.5499878,562.6749878,66.40000153,3013.199951,405.5249939,836.75,236.1829987,98.875,513.9500122,191.7330017,256.2999878,200.2310028,110.9499969,88.24220276,941.9000244,2797.350098,5199.399902,881.7999878,1909.459961,92.71250153,521.7280273,2337.399902,1022.099976,609.2999878,252.4669952,10496.7998,3489.699951,326.9500122,1615.949951,618.75,295.25,297.4440002,2621.25,741.9329834,139.6000061,156.3000031,476.3250122,,,581.4199829,386.6499939,474.7999878,306.2999878,170,139.6999969,821.9000244
25-02-2016,198.4499969,416.2999878,1342.969971,1106.430054,875.3499756,555.1500244,67.15000153,2994.449951,404.375,842.7999878,236.4219971,98.75,519,190.8000031,254.7169952,200.1940002,112.5650024,85.79540253,940.8499756,2779.100098,5142.899902,861.7000122,1888.880005,91.02500153,511.4490051,2322,1042.650024,614.5250244,254.8000031,10496.7998,3414.149902,323.75,1600.349976,606.8499756,299.3999939,296.1579895,2621.350098,724.2999878,144.1670074,151.8000031,472.0499878,,,575.289978,378.2000122,471.3250122,298.2000122,166.3639984,131.75,807.75
26-02-2016,200.1000061,417.75,1356.219971,1105.25,871.9000244,560.5750122,69.44999695,2994.050049,412.3250122,849.9000244,236.7070007,101.2919998,524,193.9669952,254.8999939,198.9380035,109.9100037,85.52819824,934.0499878,2770.949951,5111.200195,862.5499878,1888.560059,91.07499695,511.3179932,2238.100098,1053.699951,615.0250244,252.3670044,10339.2998,3409.199951,330.1499939,1601.650024,615.75,311.4500122,291.9349976,2555.399902,740.4329834,144.0330048,155.8999939,475.1749878,,,580.8449707,386.3500061,480.5,301.7999878,168,133.6499939,816.3499756
29-02-2016,196.6999969,415.5499878,1378.119995,1088.400024,853.9000244,542.0250244,68.75,3036.25,406.625,830.4000244,237.3269958,99.58329773,514.1500244,197.1000061,256.4169922,195.0939941,112.6449966,85.82350159,950.5499878,2768.600098,5008,846.0999756,1890.060059,91.91249847,515.5079956,2201.199951,1060.300049,614.0499878,254.4329987,10003.7002,3236.5,316.7999878,1611.900024,630.4000244,311,289.6849976,2499.899902,717.3330078,129.3999939,158.75,483.3250122,,,593.2050171,375.75,485.9249878,299.7000122,172.772995,130.0500031,830
